AvgStoryQ	MinStoryQ	MinCosSim	MinVariance	CCAMatchCount	CCAArtMatchRatio	CCAAvgMatchWgt	CCAAvgCosSim	ConceptCosSim	EntityCosSim	KeywordCosSim	ConceptJaccardSim	EntityJaccardSim	KeywordJaccardSim	TimeDiff	CoreTimeDiff	ExtractedDateJaccardSim	MatchingDateCount	MatchingDateRatio	CategorySim	HasSameLocation	DummyVar	ShouldMerge	Language pair
c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	c	d	string
																						class	meta
16.500	9.000	0.463	0.253	1.000	0.011	46.000	0.743	0.120	0.262	0.030	0.173	0.268	0.075	6.358	4.317	0.000	0.000	0.000	0.000	?	1.000	yes	deu-spa	
14.000	14.000	0.675	0.419	20.000	0.125	52.000	0.748	0.262	0.494	0.084	0.167	0.324	0.071	49.033	3.267	1.000	1.000	1.000	0.000	?	1.000	yes	eng-spa	
12.500	1.000	0.463	0.243	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.660	110.733	?	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
9.000	7.000	0.419	0.274	13.000	0.188	89.154	0.681	0.546	0.837	0.277	0.147	0.240	0.093	22.159	10.450	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
5.500	4.000	0.328	0.374	3.000	0.021	53.667	0.436	0.006	0.013	0.004	0.023	0.036	0.017	6.432	0.550	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
12.500	12.000	0.572	0.172	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	864.594	766.067	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
6.500	5.000	0.421	0.323	2.000	0.009	35.000	0.528	0.271	0.499	0.201	0.111	0.111	0.111	85.831	8.267	?	0.000	0.000	0.000	?	1.000	yes	eng-spa	
8.000	7.000	0.603	0.586	42.000	0.724	36.143	0.631	0.052	0.284	0.012	0.044	0.094	0.017	24.715	15.050	?	0.000	0.000	0.000	1.000	1.000	no	deu-spa	
11.000	8.000	0.493	0.329	43.000	0.274	69.116	0.698	0.138	0.207	0.120	0.062	0.075	0.053	31.953	52.367	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-eng	
12.000	5.000	0.466	0.097	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	144.268	180.700	0.000	0.000	0.000	0.000	0.000	1.000	no	deu-spa	
22.000	18.000	0.663	0.061	38.000	0.191	92.974	0.850	0.396	0.850	0.172	0.129	0.200	0.081	14.712	6.517	?	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
11.500	7.000	0.558	0.469	11.000	0.042	53.727	0.649	0.036	0.000	0.046	0.035	0.000	0.053	3.612	27.250	0.833	1.000	0.833	0.000	0.000	1.000	no	eng-spa	
27.000	25.000	0.730	0.257	21.000	0.124	53.048	0.614	0.041	0.000	0.053	0.021	0.000	0.034	19.699	25.283	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
14.000	10.000	0.590	0.565	49.000	0.129	45.265	0.600	0.000	0.000	0.000	0.000	0.000	0.000	60.300	69.133	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
8.500	6.000	0.630	0.586	6.000	0.075	56.167	0.613	0.036	0.000	0.038	0.026	0.000	0.034	8.248	11.917	0.000	0.000	0.000	0.000	?	1.000	no	deu-eng	
22.500	21.000	0.701	0.341	33.000	0.206	70.697	0.869	0.160	0.501	0.105	0.150	0.280	0.091	2.723	5.250	0.000	0.000	0.000	0.000	0.000	1.000	yes	deu-eng	
16.000	15.000	0.530	0.219	45.000	0.328	40.867	0.806	0.009	0.000	0.017	0.048	0.000	0.059	2.099	2.617	?	0.000	0.000	0.000	?	1.000	no	deu-eng	
12.500	9.000	0.430	0.253	3.000	0.012	84.667	0.700	0.080	0.199	0.000	0.029	0.067	0.000	39.508	164.333	?	0.000	0.000	0.000	1.000	1.000	no	eng-spa	
9.000	5.000	0.435	0.311	0.000	0.000	0.000	0.000	0.006	0.000	0.017	0.013	0.000	0.017	23.763	10.967	?	0.000	0.000	0.000	?	1.000	no	eng-spa	
6.000	3.000	0.389	0.551	28.000	0.188	42.321	0.581	0.053	0.002	0.089	0.040	0.024	0.053	43.717	4.400	0.000	0.000	0.000	0.000	?	1.000	no	eng-spa	
17.000	5.000	0.320	0.020	0.000	0.000	0.000	0.000	0.002	0.004	0.000	0.012	0.028	0.000	37.733	14.900	0.000	0.000	0.000	0.000	0.000	1.000	no	eng-spa	
